ScheTask [Pid=0, startTime=0, execTime=2, waitTime=0]
ScheTask [Pid=1, startTime=2, execTime=2, waitTime=1]
ScheTask [Pid=2, startTime=4, execTime=2, waitTime=2]
ScheTask [Pid=3, startTime=6, execTime=2, waitTime=1]
ScheTask [Pid=0, startTime=8, execTime=2, waitTime=8]
ScheTask [Pid=1, startTime=10, execTime=2, waitTime=8]
ScheTask [Pid=0, startTime=12, execTime=2, waitTime=4]
ScheTask [Pid=1, startTime=14, execTime=2, waitTime=4]
ScheTask [Pid=0, startTime=16, execTime=2, waitTime=4]
ScheTask [Pid=1, startTime=18, execTime=2, waitTime=4]
ScheTask [Pid=0, startTime=20, execTime=1, waitTime=4]
ScheTask [Pid=3, startTime=30, execTime=2, waitTime=0]
ScheTask [Pid=1, startTime=32, execTime=2, waitTime=1]
ScheTask [Pid=2, startTime=34, execTime=2, waitTime=2]
ScheTask [Pid=3, startTime=36, execTime=2, waitTime=6]
ScheTask [Pid=0, startTime=38, execTime=2, waitTime=0]
ScheTask [Pid=2, startTime=40, execTime=2, waitTime=6]
ScheTask [Pid=3, startTime=42, execTime=1, waitTime=6]
ScheTask [Pid=0, startTime=43, execTime=2, waitTime=5]
ScheTask [Pid=2, startTime=45, execTime=2, waitTime=5]
ScheTask [Pid=0, startTime=47, execTime=2, waitTime=4]
ScheTask [Pid=0, startTime=49, execTime=2, waitTime=2]
ScheTask [Pid=2, startTime=60, execTime=2, waitTime=0]
ScheTask [Pid=0, startTime=62, execTime=2, waitTime=0]
ScheTask [Pid=2, startTime=64, execTime=2, waitTime=4]
ScheTask [Pid=1, startTime=66, execTime=2, waitTime=1]
ScheTask [Pid=3, startTime=68, execTime=2, waitTime=2]
ScheTask [Pid=2, startTime=70, execTime=2, waitTime=6]
ScheTask [Pid=1, startTime=72, execTime=1, waitTime=6]
ScheTask [Pid=3, startTime=73, execTime=2, waitTime=5]
ScheTask [Pid=2, startTime=75, execTime=1, waitTime=5]
ScheTask [Pid=3, startTime=76, execTime=2, waitTime=3]
ScheTask [Pid=3, startTime=78, execTime=2, waitTime=2]
ScheTask [Pid=1, startTime=90, execTime=2, waitTime=0]
ScheTask [Pid=1, startTime=92, execTime=2, waitTime=2]
ScheTask [Pid=1, startTime=94, execTime=2, waitTime=2]
ScheTask [Pid=0, startTime=96, execTime=2, waitTime=1]
ScheTask [Pid=2, startTime=98, execTime=2, waitTime=0]
ScheTask [Pid=3, startTime=100, execTime=2, waitTime=1]
ScheTask [Pid=1, startTime=102, execTime=2, waitTime=8]
ScheTask [Pid=0, startTime=104, execTime=2, waitTime=8]
ScheTask [Pid=2, startTime=106, execTime=2, waitTime=8]
ScheTask [Pid=3, startTime=108, execTime=2, waitTime=8]
ScheTask [Pid=1, startTime=110, execTime=2, waitTime=8]
ScheTask [Pid=0, startTime=112, execTime=2, waitTime=8]
ScheTask [Pid=2, startTime=114, execTime=2, waitTime=8]
ScheTask [Pid=3, startTime=116, execTime=2, waitTime=8]
ScheTask [Pid=0, startTime=118, execTime=2, waitTime=6]
ScheTask [Pid=2, startTime=120, execTime=2, waitTime=6]
ScheTask [Pid=3, startTime=122, execTime=2, waitTime=6]
ScheTask [Pid=0, startTime=124, execTime=2, waitTime=6]
ScheTask [Pid=2, startTime=126, execTime=1, waitTime=6]
Average waiting time 13.1875
