ScheTask [Pid=0, startTime=0, execTime=1, waitTime=0]
ScheTask [Pid=0, startTime=1, execTime=1, waitTime=1]
ScheTask [Pid=2, startTime=2, execTime=2, waitTime=0]
ScheTask [Pid=0, startTime=4, execTime=1, waitTime=4]
ScheTask [Pid=3, startTime=5, execTime=2, waitTime=0]
ScheTask [Pid=0, startTime=7, execTime=6, waitTime=7]
ScheTask [Pid=1, startTime=13, execTime=8, waitTime=12]
ScheTask [Pid=3, startTime=30, execTime=1, waitTime=0]
ScheTask [Pid=1, startTime=31, execTime=1, waitTime=0]
ScheTask [Pid=1, startTime=32, execTime=1, waitTime=1]
ScheTask [Pid=3, startTime=33, execTime=4, waitTime=3]
ScheTask [Pid=2, startTime=37, execTime=1, waitTime=5]
ScheTask [Pid=2, startTime=38, execTime=5, waitTime=6]
ScheTask [Pid=0, startTime=43, execTime=8, waitTime=5]
ScheTask [Pid=2, startTime=60, execTime=2, waitTime=0]
ScheTask [Pid=0, startTime=62, execTime=2, waitTime=0]
ScheTask [Pid=2, startTime=64, execTime=1, waitTime=4]
ScheTask [Pid=1, startTime=65, execTime=1, waitTime=0]
ScheTask [Pid=1, startTime=66, execTime=2, waitTime=1]
ScheTask [Pid=2, startTime=68, execTime=4, waitTime=8]
ScheTask [Pid=3, startTime=72, execTime=8, waitTime=6]
ScheTask [Pid=1, startTime=90, execTime=5, waitTime=0]
ScheTask [Pid=1, startTime=95, execTime=3, waitTime=5]
ScheTask [Pid=1, startTime=98, execTime=1, waitTime=8]
ScheTask [Pid=1, startTime=99, execTime=1, waitTime=9]
ScheTask [Pid=3, startTime=100, execTime=8, waitTime=1]
ScheTask [Pid=2, startTime=108, execTime=9, waitTime=10]
ScheTask [Pid=0, startTime=117, execTime=10, waitTime=22]
Average waiting time 7.375
